position,player,salary,points,value
3B/OF,Jose Ramirez,2100,6.2,2.9523809523809526
3B/OF,Jose Ramirez,2100,6.2,2.9523809523809526
SS,J.J. Hardy,2700,6.136,2.2725925925925927
C,Yan Gomes,2000,6.061,3.0305
C,Bryan Holaday,2200,5.895,2.6795454545454547
2B/3B,Gordon Beckham,2300,5.727,2.49
2B/3B,Gordon Beckham,2300,5.727,2.49
SS,Asdrubal Cabrera,2500,5.721,2.2884
3B/SS,Alexi Amarista,2000,5.615,2.8075
3B/SS,Alexi Amarista,2000,5.615,2.8075
OF,Alex Presley,2000,5.44,2.72
C,Rene Rivera,2000,4.714,2.357
